,0
phil_S_T,0.152270235332552
phob_F_W,0.09425545268274818
phil_R_K,0.07496902324379208
phob_L_I,0.06956904476597815
phil_N_Q,0.060903618594831115
phil_D_E,0.05872205361133789
phob_M_C,0.056581282499579603
phil_G,0.0494100151080704
phil_F_W,0.04418024167019619
phil_A,0.04293451804416997
phil_L_I,0.03927147013148778
phil_H,0.03770789854241108
phob_V,0.03418544434556749
phob_Y,0.03225762714685408
phob_S_T,0.02854863684265942
phob_G,0.017520227053672618
phil_Y,0.016023771902419794
phil_M_C,0.015815144452467983
phob_H,0.014430018201155973
phob_D_E,0.01244348133606718
phob_P,0.011508705967754718
phob_N_Q,0.01041678531490817
phob_A,0.008889423739202044
phil_P,0.0076839647194848594
phob_R_K,0.005564015551434731
phil_V,0.003937899199196639
