,0
HydrophobicFaceWidth,0.2156209317372357
phil_S_T,0.1341935226277006
phob_F_W,0.09181517269477886
Length,0.05987014040299176
phil_R_K,0.05091072445094346
Hydrophobicity,0.0489824494247335
Dfactor,0.04016381489231808
phob_M_C,0.039326709323765224
H_moment,0.037299971889751385
phob_L_I,0.03695088413358377
phob_V,0.030302872403300277
phil_N_Q,0.028252666772276037
phob_Y,0.02307302063049335
phil_D_E,0.023023811822662874
phil_G,0.015843293870078778
phil_H,0.01571880731165934
phil_A,0.012264750205037296
phob_S_T,0.011776405559580021
phob_H,0.011303731950210756
Netcharge,0.00985823070122111
phil_Y,0.008294800983824822
phil_F_W,0.008064594637137094
phob_A,0.007779706005735976
phil_L_I,0.007329853841077978
phil_V,0.0065744419832481985
phob_G,0.006102289715707167
phob_R_K,0.005848703687629484
phob_N_Q,0.003642906013637895
phob_D_E,0.0030606215081779927
phil_P,0.0030264747867803036
phil_M_C,0.0023164574193615052
phob_P,0.0014072366133592933
